Simple	English	semantic-similarity
In 2020 and 2021, an ongoing outbreak of Avian influenza subtype H5N8 has been happening in poultry farms and in wild bird populations in several countries and continents. It has caused the cullings of millions of birds to prevent a pandemic similar to that of the H5N1 outbreak in 2008 . The first case of human transmission was reported by Russian authorities in February 2021, as several poultry farm workers tested positive for the virus. 	In 2020 and 2021, an ongoing outbreak of Avian influenza subtype H5N8 has been occurring at poultry farms and among wild bird populations in several countries and continents, leading to the subsequent cullings of millions of birds to prevent a pandemic similar to that of the H5N1 outbreak in 2008 . The first case of human transmission was reported by Russian authorities in February 2021, as several poultry farm workers tested positive for the virus. On 4 February 2020, Saudi Arabian government reported an outbreak of the highly pathogenic H5N8 virus on a poultry farm. The outbreak, which occurred in the central Sudair region, killed more than 22,000 birds in a few weeks.  In the summer months, H5N8 was detected in wild birds in western Russia and Kazakhstan , because this included waterbirds that migrate into northern and western Europe, it was considered likely that the virus would be detected there later in the year . 	4.705206
Gastrointestinal bleeding , also known as gastrointestinal hemorrhage , is all forms of bleeding in the gastrointestinal tract , from the mouth to the rectum .  When there is significant blood loss over a short time, symptoms may include vomiting red blood , vomiting black blood , bloody stool , or black stool . Small amounts of bleeding over a long time may cause iron-deficiency anemia resulting in feeling tired or heart-related chest pain . Other symptoms may include abdominal pain , shortness of breath , pale skin , or passing out . Sometimes in those with small amounts of bleeding no symptoms may be present. 	Gastrointestinal bleeding , also called gastrointestinal hemorrhage , is all forms of bleeding in the gastrointestinal tract , from the mouth to the rectum .  When there is significant blood loss over a short time, symptoms may include vomiting red blood , vomiting black blood , bloody stool , or black stool .  Small amounts of bleeding over a long time may cause iron-deficiency anemia resulting in feeling tired or heart-related chest pain .  Other symptoms may include abdominal pain , shortness of breath , pale skin , or passing out .   Sometimes in those with small amounts of bleeding no symptoms may be present.  Bleeding is typically divided into two main types: upper gastrointestinal bleeding and lower gastrointestinal bleeding .  Causes of upper GI bleeds include: peptic ulcer disease, esophageal varices due to liver cirrhosis and cancer , among others.  Causes of lower GI bleeds include: hemorrhoids , cancer, and inflammatory bowel disease among others.  Diagnosis typically begins with a medical history and physical examination , along with blood tests.  Small amounts of bleeding may be detected by fecal occult blood test.  Endoscopy of the lower and upper gastrointestinal tract may locate the area of bleeding.  Medical imaging may be useful in cases that are not clear.  Initial treatment focuses on resuscitation which may include intravenous fluids and blood transfusions .  Often blood transfusions are not recommended unless the hemoglobin is less than 70 or 80 g/L.   Treatment with proton pump inhibitors , octreotide , and antibiotics may be considered in certain cases.    If other measures are not effective, an esophageal balloon may be attempted in those with presumed esophageal varices.  Endoscopy of the esophagus, stomach, and duodenum or endoscopy of the large bowel are generally recommended within 24 hours and may allow treatment as well as diagnosis. 	4.7024755
Chronic lymphocytic leukemia  is a type of cancer in which the bone marrow makes too many lymphocytes .   Early on there are typically no symptoms.  Later non-painful lymph node swelling, feeling tired, fever , night sweats , or weight loss for no clear reason may occur.  Risk factors include having a family history of the disease.	Chronic lymphocytic leukemia  is a type of cancer in which the bone marrow makes too many lymphocytes .   Early on there are typically no symptoms.  Later non-painful lymph node swelling, feeling tired, fever , night sweats , or weight loss for no clear reason may occur.   Enlargement of the spleen and low red blood cells  may also occur.   It typically worsens gradually over years.  Risk factors include having a family history of the disease.  Exposure to Agent Orange and certain insecticides might also be a risk.  CLL results in the buildup of B cell lymphocytes in the bone marrow, lymph nodes, and blood .  These cells do not function well and crowd out healthy blood cells .  CLL is divided into two main types: those with a mutated IGHV gene and those without.  Diagnosis is typically based on blood tests finding high numbers of mature lymphocytes and smudge cells.  Early-stage CLL in asymptomatic cases responds better to careful observation, as there is no evidence that early intervention treatment can alter the course of the disease.  Immune defects occur early in the course of CLL and these increase the risk of developing serious infection, which should be treated appropriately with antibiotics.  In those with significant symptoms, chemotherapy or immunotherapy may be used.  As of 2019 ibrutinib is often the initial medication recommended.  The medications fludarabine , cyclophosphamide , and rituximab were previously the initial treatment in those who are otherwise healthy. 	4.6801105
Cysticercosis is a tissue infection caused by the young form of the pork tapeworm .   People may have few or no symptoms for years. In some cases, particularly in Asia, solid lumps of between one and two centimetres may develop under the skin.  After months or years these lumps can become painful and swollen and then be cured. 	Cysticercosis is a tissue infection caused by the young form of the pork tapeworm .   People may have few or no symptoms for years.   In some cases, particularly in Asia, solid lumps of between one and two centimetres may develop under the skin.  After months or years these lumps can become painful and swollen and then resolve.   A specific form called neurocysticercosis , which affects the brain , can cause neurological symptoms.  In developing countries this is one of the most common causes of seizures .  Cysticercosis is usually acquired by eating food or drinking water contaminated by tapeworm eggs from human feces .  Among foods, uncooked vegetables are the major source.  The tapeworm eggs are present in the feces of a person infected with the adult worms, a condition known as taeniasis .   Taeniasis, in the strict sense, is a different disease and is due to eating cysts in poorly cooked pork.  People who live with someone with the pork tapeworm have a greater risk of getting cysticercosis.  The diagnosis can be made by aspiration of a cyst.  Taking pictures of the brain with computer tomography  or magnetic resonance imaging  are most useful for the diagnosis of disease in the brain.  An increased number of a type of white blood cell , called eosinophils , in the cerebral spinal fluid and blood is also an indicator.  Infection can be effectively prevented by personal hygiene and sanitation :  this includes cooking pork well, proper toilets and sanitary practices, and improved access to clean water.  Treating those with taeniasis is important to prevent spread.  Treating the disease when it does not involve the nervous system may not be required.  Treatment of those with neurocysticercosis may be with the medications praziquantel or albendazole .  These may be required for long periods.  Steroids , for anti-inflammation during treatment, and anti-seizure medications may also be required.  Surgery is sometimes done to remove the cysts. 	4.65688
Gastrointestinal cancer refers to malignant conditions of the gastrointestinal tract  and accessory organs of digestion , including the esophagus , stomach , biliary system , pancreas , small intestine , large intestine , rectum and anus . The symptoms relate to the organ affected and can include obstruction , abnormal bleeding or other associated problems. The diagnosis often requires endoscopy , followed by biopsy of suspicious tissue. The treatment depends on the location of the tumor, as well as the type of cancer cell and whether it has invaded other tissues or spread elsewhere. These factors also determine the prognosis.	Gastrointestinal cancer refers to malignant conditions of the gastrointestinal tract  and accessory organs of digestion , including the esophagus, stomach, biliary system, pancreas, small intestine, large intestine, rectum and anus. The symptoms relate to the organ affected and can include obstruction , abnormal bleeding or other associated problems. The diagnosis often requires endoscopy , followed by biopsy of suspicious tissue. The treatment depends on the location of the tumor, as well as the type of cancer cell and whether it has invaded other tissues or spread elsewhere. These factors also determine the prognosis. Overall, the GI tract and the accessory organs of digestion  are responsible for more cancers and more deaths from cancer than any other system in the body.   There is significant geographic variation in the rates of different gastrointestinal cancers.  Esophageal cancer is the sixth-most-common cancer in the world, and its incidence is increasing.  Some three to five males are affected for each female.  An "esophageal cancer belt", in which the incidence of esophageal squamous cell carcinoma  is more than a hundred times that of adjacent areas, extends from northeastern China through central Asia to northern Iran.  Ethiopia also has a notably high incidence.  There are two main types of esophageal cancer—adenocarcinoma and squamous cell carcinoma. Worldwide, the incidence of each type is about the same, but in developed countries like North America and Europe adenocarcinoma is the more common. 	4.6344376
Clostridioides difficile infection , also known as Clostridium difficile infection , is a symptomatic infection caused by the spore -forming bacterium Clostridioides difficile .  Symptoms include watery diarrhea , fever, nausea, and abdominal pain . It makes up about 20% of cases of antibiotic-associated diarrhea . Problems caused by this infection are pseudomembranous colitis , toxic megacolon , perforation of the colon , and sepsis . Clostridioides difficile infection is spread by bacterial spores found within feces .	Clostridioides difficile infection , also known as Clostridium difficile infection , is a symptomatic infection due to the spore -forming bacterium Clostridioides difficile .   Symptoms include watery diarrhea , fever, nausea, and abdominal pain .  It makes up about 20% of cases of antibiotic-associated diarrhea .  Antibiotics can contribute to detrimental changes in gut microbiota; specifically, they decrease short-chain fatty acid absorption which results in osmotic, or watery, diarrhea.  Complications may include pseudomembranous colitis , toxic megacolon , perforation of the colon , and sepsis .  Clostridioides difficile infection is spread by bacterial spores found within feces .  Surfaces may become contaminated with the spores with further spread occurring via the hands of healthcare workers.  Risk factors for infection include antibiotic or proton pump inhibitor use, hospitalization, other health problems, and older age.  Diagnosis is by stool culture or testing for the bacteria's DNA or toxins .  If a person tests positive but has no symptoms, the condition is known as C. difficile colonization rather than an infection. 	4.6247616
Animal euthanasia  is the act of putting an animal to death or allowing it to die by without it facing extreme medical measures. Reasons for euthanasia include incurable  conditions or diseases,  lack of resources to continue supporting the animal, or laboratory test procedures. Euthanasia methods are designed to cause minimal pain and distress. Euthanasia is distinct from animal slaughter and pest control although in some cases the procedure is the same. In pet animals, this process is commonly referred to by euphemisms such as "put down" or "put to sleep".	Animal euthanasia  is the act of killing an animal or allowing it to die by withholding extreme medical measures. Reasons for euthanasia include incurable  conditions or diseases,  lack of resources to continue supporting the animal, or laboratory test procedures. Euthanasia methods are designed to cause minimal pain and distress. Euthanasia is distinct from animal slaughter and pest control although in some cases the procedure is the same. In domesticated animals, this process is commonly referred to by euphemisms such as "put down"  or "put to sleep". 	4.6074157
Bowel obstruction , also known as intestinal obstruction , is a mechanical or functional obstruction of the intestines which prevents the normal movement of the products of digestion .   Either the small bowel or large bowel may be affected.  Signs and symptoms include abdominal pain , vomiting , bloating and not passing gas .	Bowel obstruction , also known as intestinal obstruction , is a mechanical or functional obstruction of the intestines which prevents the normal movement of the products of digestion .   Either the small bowel or large bowel may be affected.  Signs and symptoms include abdominal pain , vomiting , bloating and not passing gas .  Mechanical obstruction is the cause of about 5 to 15% of cases of severe abdominal pain of sudden onset requiring admission to hospital.   Causes of bowel obstruction include adhesions , hernias , volvulus , endometriosis , inflammatory bowel disease , appendicitis , tumors , diverticulitis , ischemic bowel , tuberculosis and intussusception .   Small bowel obstructions are most often due to adhesions and hernias while large bowel obstructions are most often due to tumors and volvulus.   The diagnosis may be made on plain X-rays ; however, CT scan is more accurate.  Ultrasound or MRI may help in the diagnosis of children or pregnant women. 	4.59377
Bowel obstruction , also known as intestinal obstruction , is a mechanical or functional obstruction of the intestines which prevents the normal movement of the products of digestion .   Either the small bowel or large bowel may be affected.  Signs and symptoms include abdominal pain , vomiting , bloating and not passing gas .	Bowel obstruction , also known as intestinal obstruction , is a mechanical or functional obstruction of the intestines which prevents the normal movement of the products of digestion .   Either the small bowel or large bowel may be affected.  Signs and symptoms include abdominal pain , vomiting , bloating and not passing gas .  Mechanical obstruction is the cause of about 5 to 15% of cases of severe abdominal pain of sudden onset requiring admission to hospital.   Causes of bowel obstruction include adhesions , hernias , volvulus , endometriosis , inflammatory bowel disease , appendicitis , tumors , diverticulitis , ischemic bowel , tuberculosis and intussusception .   Small bowel obstructions are most often due to adhesions and hernias while large bowel obstructions are most often due to tumors and volvulus.   The diagnosis may be made on plain X-rays ; however, CT scan is more accurate.  Ultrasound or MRI may help in the diagnosis of children or pregnant women. 	4.59377
A cerebral infarction is an area of necrotic tissue in the brain caused from a blockage or narrowing in the arteries supplying blood and oxygen to the brain. The lack of oxygen due to the low blood supply causes an ischemic stroke that can result in an infarction if the blood flow is not restored within a relatively short period of time. The blockage can be due to a thrombus , an embolus or an atheromatous stenosis of one or more arteries .  Which arteries are problematic will determine which areas of the brain are affected . These varying infarcts will produce different symptoms and outcomes. About one third will prove fatal.	A cerebral infarction is an area of necrotic tissue in the brain . It results from a blockage or narrowing in the arteries supplying blood and oxygen to the brain. The restricted oxygen due to the restricted blood supply causes an ischemic stroke , which can result in an infarction if the blood flow is not restored within a relatively short period of time. The blockage can be due to a thrombus , an embolus , or an atheromatous stenosis of one or more arteries .  Which arteries are problematic will determine which areas of the brain are affected . These varying infarcts will produce different symptoms and outcomes. About one third will prove fatal. There are various classification systems  for a cerebral infarction, some of which are described below. Symptoms of cerebral infarction are determined by the parts of the brain affected. If the infarct is located in the primary motor cortex , contralateral hemiparesis is said to occur. With brainstem localization, brainstem syndromes are typical: Wallenberg's syndrome , Weber's syndrome , Millard–Gubler syndrome , Benedikt syndrome or others.	4.592256
